post_id,post_url,owner_hashed,is_ai_generated,image_width,image_height,aspect_ratio,megapixels,is_standard_resolution,is_portrait,long_side,tag_count,avg_tag_length,max_tag_length,multiword_tag_ratio,source_type,has_source,score,comment_count,has_notes,has_parent,has_sample,change_hour,change_day_of_week,change_month,_leak_tags_removed
7069473,https://safebooru.org/index.php?page=post&s=view&id=7069473,e285b9008bf6,0,2048,1452,1.410468,2.9737,0,0,2048,70,10.829,36,0.557143,twitter,1,,0,0,0,1,12,Wednesday,August,0
7076254,https://safebooru.org/index.php?page=post&s=view&id=7076254,e285b9008bf6,1,1856,1280,1.45,2.3757,0,0,1856,22,10.318,18,0.590909,twitter,1,,0,0,0,1,19,Friday,August,1
7069463,https://safebooru.org/index.php?page=post&s=view&id=7069463,e285b9008bf6,0,2507,3040,0.824671,7.6213,0,1,3040,34,11.235,31,0.588235,pixiv,1,,0,0,0,1,12,Wednesday,August,0
6785727,https://safebooru.org/index.php?page=post&s=view&id=6785727,e285b9008bf6,1,1408,2112,0.666667,2.9737,0,1,2112,25,11.0,25,0.56,twitter,1,,0,0,0,1,16,Thursday,May,1
6753654,https://safebooru.org/index.php?page=post&s=view&id=6753654,e285b9008bf6,1,1254,1254,1.0,1.5725,0,0,1254,4,14.25,25,0.75,local_file,1,,0,0,0,1,8,Tuesday,May,1
7027030,https://safebooru.org/index.php?page=post&s=view&id=7027030,e285b9008bf6,1,1344,1728,0.777778,2.3224,1,1,1728,30,10.6,25,0.566667,twitter,1,1,0,0,0,0,10,Thursday,August,1
6725029,https://safebooru.org/index.php?page=post&s=view&id=6725029,e285b9008bf6,1,1086,1448,0.75,1.5725,0,1,1448,7,15.0,23,0.714286,local_file,1,,0,0,0,1,23,Sunday,May,1
7069460,https://safebooru.org/index.php?page=post&s=view&id=7069460,e285b9008bf6,0,4098,5642,0.726338,23.1209,0,1,5642,61,10.557,27,0.704918,pixiv,1,,0,0,0,1,12,Wednesday,August,0
6872776,https://safebooru.org/index.php?page=post&s=view&id=6872776,e285b9008bf6,1,832,1216,0.684211,1.0117,1,1,1216,26,9.308,35,0.538462,twitter,1,,0,0,0,0,7,Wednesday,June,1
7069478,https://safebooru.org/index.php?page=post&s=view&id=7069478,e285b9008bf6,0,1642,1642,1.0,2.6962,0,0,1642,37,12.243,47,0.648649,pixiv,1,,0,0,0,1,12,Wednesday,August,0
7069483,https://safebooru.org/index.php?page=post&s=view&id=7069483,e285b9008bf6,0,2304,3072,0.75,7.0779,0,1,3072,36,10.222,31,0.666667,pixiv,1,,0,0,0,1,12,Wednesday,August,0
7069486,https://safebooru.org/index.php?page=post&s=view&id=7069486,e285b9008bf6,0,2300,3461,0.664548,7.9603,0,1,3461,59,11.305,29,0.644068,local_file,1,,0,0,0,1,12,Wednesday,August,0
7058345,https://safebooru.org/index.php?page=post&s=view&id=7058345,e285b9008bf6,1,1070,1470,0.727891,1.5729,0,1,1470,22,10.909,23,0.636364,pixiv,1,1,0,0,0,1,23,Saturday,August,1
7075430,https://safebooru.org/index.php?page=post&s=view&id=7075430,e285b9008bf6,0,2699,4531,0.595674,12.2292,0,1,4531,33,10.455,27,0.575758,pixiv,1,,0,0,0,1,12,Friday,August,0
6669414,https://safebooru.org/index.php?page=post&s=view&id=6669414,e285b9008bf6,1,1536,1024,1.5,1.5729,1,0,1536,8,22.375,37,1.0,local_file,1,,0,0,0,1,19,Friday,April,1
7075348,https://safebooru.org/index.php?page=post&s=view&id=7075348,e285b9008bf6,0,700,1050,0.666667,0.735,0,1,1050,39,10.769,26,0.666667,twitter,1,,0,0,0,0,12,Friday,August,0
7076002,https://safebooru.org/index.php?page=post&s=view&id=7076002,e285b9008bf6,0,1540,2048,0.751953,3.1539,0,1,2048,34,11.765,27,0.588235,twitter,1,,0,0,0,1,16,Friday,August,0
7075431,https://safebooru.org/index.php?page=post&s=view&id=7075431,e285b9008bf6,0,4000,2250,1.777778,9.0,0,0,4000,28,11.036,30,0.571429,pixiv,1,,0,0,0,1,12,Friday,August,0
7075365,https://safebooru.org/index.php?page=post&s=view&id=7075365,e285b9008bf6,0,1114,1280,0.870313,1.4259,0,1,1280,62,10.21,24,0.677419,twitter,1,,0,0,0,0,12,Friday,August,0
6791380,https://safebooru.org/index.php?page=post&s=view&id=6791380,e285b9008bf6,1,1268,1838,0.68988,2.3306,0,1,1838,16,11.0,25,0.5625,twitter,1,,0,0,0,0,10,Saturday,May,1
7075416,https://safebooru.org/index.php?page=post&s=view&id=7075416,e285b9008bf6,0,1920,1080,1.777778,2.0736,0,0,1920,38,12.184,26,0.684211,pixiv,1,,0,0,0,1,12,Friday,August,0
6625251,https://safebooru.org/index.php?page=post&s=view&id=6625251,e285b9008bf6,1,1024,1024,1.0,1.0486,1,0,1024,23,8.435,14,0.521739,local_file,1,,0,0,0,0,21,Saturday,April,1
7075996,https://safebooru.org/index.php?page=post&s=view&id=7075996,e285b9008bf6,0,1100,1388,0.792507,1.5268,0,1,1388,45,10.089,19,0.644444,other,1,,0,0,0,1,16,Friday,August,0
